id,name,group,path,time,tags,headers
"invite-partner-html","invite-partner-html.md","chitragupta","Projects/chitragupta/invite-partner-html.md","2026-04-08 16:51","[code,|html,|service,|vite]|project/chitragupta,","invite-partner.html|📋 Metadata|🔗 Related Files|📄 Content"
"tsconfig-json","tsconfig-json.md","chitragupta","Projects/chitragupta/tsconfig-json.md","2026-04-08 16:51","[code,|vite]|config,|json,|project/chitragupta,","tsconfig.json|📋 Metadata|🔗 Related Files|📄 Content"
"chitragupta","chitragupta.md","chitragupta","Projects/chitragupta/chitragupta.md","2026-04-09 00:32","index]|[project/chitragupta,","🗂️ chitragupta|📊 Overview|📂 Files by Role|🔐 Auth (6)|⚙️ Config (4)"
"charts-ts","charts-ts.md","chitragupta","Projects/chitragupta/charts-ts.md","2026-04-08 16:51","service,|project/chitragupta,|[code,|typescript]","charts.ts|📋 Metadata|🔗 Related Files|📄 Content"
"API_ENDPOINTS-md","API_ENDPOINTS-md.md","chitragupta","Projects/chitragupta/API_ENDPOINTS-md.md","2026-04-08 16:51","markdown,|documentation,|vite]|project/chitragupta,|[auth,","API_ENDPOINTS.md|📋 Metadata|🔗 Related Files|📄 Content|Chitragupta API Endpoints"
"IMPLEMENTATION_SUMMARY-md","IMPLEMENTATION_SUMMARY-md.md","chitragupta","Projects/chitragupta/IMPLEMENTATION_SUMMARY-md.md","2026-04-08 16:51","markdown,|documentation,|config,|[cloudflare-workers,|vite]|project/chitragupta,|docker,","IMPLEMENTATION_SUMMARY.md|📋 Metadata|🔗 Related Files|📄 Content|Chitragupta - SAAS Implementation Com"
"manifest-json","manifest-json.md","chitragupta","Projects/chitragupta/manifest-json.md","2026-04-08 16:51","json,|[code,|other,|project/chitragupta]","manifest.json|📋 Metadata|🔗 Related Files|📄 Content"
"README-md","README-md.md","chitragupta","Projects/chitragupta/README-md.md","2026-04-08 16:51","markdown,|documentation,|project/chitragupta]|[cloudflare-workers,|docs,","README.md|📋 Metadata|🔗 Related Files|📄 Content|Chitragupta — Financial Settlement Engine"
"signup-html","signup-html.md","chitragupta","Projects/chitragupta/signup-html.md","2026-04-08 16:51","html,|code,|project/chitragupta]|[auth,","signup.html|📋 Metadata|🔗 Related Files|📄 Content"
"login-html","login-html.md","chitragupta","Projects/chitragupta/login-html.md","2026-04-08 16:51","html,|code,|project/chitragupta]|[auth,","login.html|📋 Metadata|🔗 Related Files|📄 Content"
"reports-js","reports-js.md","chitragupta","Projects/chitragupta/reports-js.md","2026-04-08 16:51","[code,|javascript,|service,|vite]|project/chitragupta,","reports.js|📋 Metadata|🔗 Related Files|📄 Content"
"offline-html","offline-html.md","chitragupta","Projects/chitragupta/offline-html.md","2026-04-08 16:51","[code,|e2e8f0|html,|page,|project/chitragupta]|f8fafc","offline.html|📋 Metadata|🔗 Related Files|📄 Content"
"app-ts","app-ts.md","chitragupta","Projects/chitragupta/app-ts.md","2026-04-08 16:51","[code,|typescript,|service,|vite]|project/chitragupta,","app.ts|📋 Metadata|🔗 Related Files|📄 Content"
"_health-js","_health-js.md","chitragupta","Projects/chitragupta/_health-js.md","2026-04-08 16:51","project/chitragupta,|[code,|javascript,|service]","_health.js|📋 Metadata|🔗 Related Files|📄 Content"
"auth-ts","auth-ts.md","chitragupta","Projects/chitragupta/auth-ts.md","2026-04-08 16:51","typescript,|vite]|project/chitragupta,|code,|[auth,","auth.ts|📋 Metadata|🔗 Related Files|📄 Content"
"_worker-js","_worker-js.md","chitragupta","Projects/chitragupta/_worker-js.md","2026-04-08 16:51","worker]|project/chitragupta,|[code,|javascript,","_worker.js|📋 Metadata|🔗 Related Files|📄 Content"
"sw-js","sw-js.md","chitragupta","Projects/chitragupta/sw-js.md","2026-04-08 16:51","javascript,|service,|[cloudflare-workers,|vite]|project/chitragupta,|code,","sw.js|📋 Metadata|🔗 Related Files|📄 Content"
"index-html","index-html.md","chitragupta","Projects/chitragupta/index-html.md","2026-04-08 16:51","[code,|html,|service,|vite]|project/chitragupta,|docker,","index.html|📋 Metadata|🔗 Related Files|📄 Content"
"api-ts","api-ts.md","chitragupta","Projects/chitragupta/api-ts.md","2026-04-08 16:51","typescript,|vite]|project/chitragupta,|code,|[auth,","api.ts|📋 Metadata|🔗 Related Files|📄 Content"
"DEPLOYMENT-md","DEPLOYMENT-md.md","chitragupta","Projects/chitragupta/DEPLOYMENT-md.md","2026-04-08 16:51","markdown,|documentation,|[cloudflare-workers,|vite]|project/chitragupta,|docs,","DEPLOYMENT.md|📋 Metadata|🔗 Related Files|📄 Content|Chitragupta: Unified Cloudflare Deployment Guide"
"styles-css","styles-css.md","chitragupta","Projects/chitragupta/styles-css.md","2026-04-08 16:51","[code,|ffbf70|e0a458|fff|css,|cbd5e1|a4b5cc|f59e0b|service,|ffcc80","styles.css|📋 Metadata|🔗 Related Files|📄 Content"
"auth-css","auth-css.md","chitragupta","Projects/chitragupta/auth-css.md","2026-04-08 16:51","[code,|fff|css,|style]|project/chitragupta,|ef4444","auth.css|📋 Metadata|🔗 Related Files|📄 Content"
"budgets-js","budgets-js.md","chitragupta","Projects/chitragupta/budgets-js.md","2026-04-08 16:51","typescript,|javascript,|form-budget|vite]|project/chitragupta,|code,|[auth,","budgets.js|📋 Metadata|🔗 Related Files|📄 Content"
"vite-config-ts","vite-config-ts.md","chitragupta","Projects/chitragupta/vite-config-ts.md","2026-04-08 16:51","[code,|typescript,|vite]|config,|project/chitragupta,","vite.config.ts|📋 Metadata|🔗 Related Files|📄 Content"
"invoice-js","invoice-js.md","chitragupta","Projects/chitragupta/invoice-js.md","2026-04-08 16:51","[code,|javascript,|service,|typescript]|project/chitragupta,","invoice.js|📋 Metadata|🔗 Related Files|📄 Content"
"wrangler-toml","wrangler-toml.md","chitragupta","Projects/chitragupta/wrangler-toml.md","2026-04-07 14:50","config,|[cloudflare-workers,|project/chitragupta,|code,|toml]","wrangler.toml|📋 Metadata|🔗 Related Files|📄 Content"
"package-json","package-json.md","career-ops","Projects/career-ops/package-json.md","2026-04-06 23:40","json,|project/career-ops]|[code,|config,","package.json|📋 Metadata|🔗 Related Files|📄 Content"
"CLAUDE-md","CLAUDE-md.md","career-ops","Projects/career-ops/CLAUDE-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","CLAUDE.md|📋 Metadata|🔗 Related Files|📄 Content|Career-Ops -- AI Job Search Pipeline"
"DATA_CONTRACT-md","DATA_CONTRACT-md.md","career-ops","Projects/career-ops/DATA_CONTRACT-md.md","2026-04-06 23:40","markdown,|[config,|project/career-ops]|documentation,|docker,","DATA_CONTRACT.md|📋 Metadata|🔗 Related Files|📄 Content|Data Contract"
"batch-md","batch-md.md","career-ops","Projects/career-ops/batch-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[auth,|docker,","batch.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: batch — Procesamiento Masivo de Ofertas"
"feature_request-yml","feature_request-yml.md","career-ops","Projects/career-ops/feature_request-yml.md","2026-04-06 23:40","project/career-ops,|[code,|yaml]|config,","feature_request.yml|📋 Metadata|🔗 Related Files|📄 Content"
"auto-pipeline-md","auto-pipeline-md.md","career-ops","Projects/career-ops/auto-pipeline-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","auto-pipeline.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: auto-pipeline — Pipeline Completo Automá"
"bewerben-md","bewerben-md.md","career-ops","Projects/career-ops/bewerben-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|NNN|[docs,","bewerben.md|📋 Metadata|🔗 Related Files|📄 Content|Modus: bewerben — Live-Assistent fürs Bewerbungsfor"
"_shared-md","_shared-md.md","career-ops","Projects/career-ops/_shared-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","_shared.md|📋 Metadata|🔗 Related Files|📄 Content|Geteilter Kontext -- career-ops (Deutsch)"
"SKILL-md","SKILL-md.md","career-ops","Projects/career-ops/SKILL-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","SKILL.md|📋 Metadata|🔗 Related Files|📄 Content|career-ops -- Router"
"bug_report-yml","bug_report-yml.md","career-ops","Projects/career-ops/bug_report-yml.md","2026-04-06 23:40","project/career-ops,|[code,|yaml]|config,","bug_report.yml|📋 Metadata|🔗 Related Files|📄 Content"
"CUSTOMIZATION-md","CUSTOMIZATION-md.md","career-ops","Projects/career-ops/CUSTOMIZATION-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","CUSTOMIZATION.md|📋 Metadata|🔗 Related Files|📄 Content|Customization Guide"
"oferta-md","oferta-md.md","career-ops","Projects/career-ops/oferta-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","oferta.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: oferta — Evaluación Completa A-F"
"project-md","project-md.md","career-ops","Projects/career-ops/project-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","project.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: project — Evaluación de Proyecto Portfolio"
"article-digest-example-md","article-digest-example-md.md","career-ops","Projects/career-ops/article-digest-example-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","article-digest-example.md|📋 Metadata|🔗 Related Files|📄 Content|Article Digest -- Proof Points"
"profile-example-yml","profile-example-yml.md","career-ops","Projects/career-ops/profile-example-yml.md","2026-04-06 23:40","project/career-ops,|[code,|yaml]|config,","profile.example.yml|📋 Metadata|🔗 Related Files|📄 Content|Career-Ops Profile Configuration"
"README-md","README-md.md","career-ops","Projects/career-ops/README-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","README.md|📋 Metadata|🔗 Related Files|📄 Content|career-ops — Deutsche Modi (`modes/de/`)"
"pdf-md","pdf-md.md","career-ops","Projects/career-ops/pdf-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","pdf.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: pdf — Generación de PDF ATS-Optimizado"
"states-yml","states-yml.md","career-ops","Projects/career-ops/states-yml.md","2026-04-06 23:40","project/career-ops,|[code,|yaml]|config,","states.yml|📋 Metadata|🔗 Related Files|📄 Content|Career-Ops — Canonical States"
"profile-yml","profile-yml.md","career-ops","Projects/career-ops/profile-yml.md","2026-04-06 23:40","project/career-ops,|[code,|yaml]|config,","profile.yml|📋 Metadata|🔗 Related Files|📄 Content|Career-Ops Profile Configuration"
"contacto-md","contacto-md.md","career-ops","Projects/career-ops/contacto-md.md","2026-04-06 23:40","project/career-ops,|[documentation,|markdown,|service]","contacto.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: contacto — LinkedIn Power Move"
"batch-prompt-md","batch-prompt-md.md","career-ops","Projects/career-ops/batch-prompt-md.md","2026-04-06 23:40","markdown,|[config,|project/career-ops]|documentation,|docker,","batch-prompt.md|📋 Metadata|🔗 Related Files|📄 Content|career-ops Batch Worker — Evaluación Completa +"
"tracker-md","tracker-md.md","career-ops","Projects/career-ops/tracker-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","tracker.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: tracker — Tracker de Aplicaciones"
"CONTRIBUTING-md","CONTRIBUTING-md.md","career-ops","Projects/career-ops/CONTRIBUTING-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","CONTRIBUTING.md|📋 Metadata|🔗 Related Files|📄 Content|Contributing to Career-Ops"
"batch-runner-sh","batch-runner-sh.md","career-ops","Projects/career-ops/batch-runner-sh.md","2026-04-06 23:40","[bash,|project/career-ops,|script]|code,|docker,","batch-runner.sh|📋 Metadata|🔗 Related Files|📄 Content|career-ops batch runner — standalone orchestrat"
"training-md","training-md.md","career-ops","Projects/career-ops/training-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","training.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: training — Evaluación de Formación"
"cv-example-md","cv-example-md.md","career-ops","Projects/career-ops/cv-example-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","cv-example.md|📋 Metadata|🔗 Related Files|📄 Content|CV -- Alex Chen"
"apply-md","apply-md.md","career-ops","Projects/career-ops/apply-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|NNN|[docs,","apply.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: apply — Asistente de Aplicación en Vivo"
"_profile-template-md","_profile-template-md.md","career-ops","Projects/career-ops/_profile-template-md.md","2026-04-06 23:40","markdown,|[config,|project/career-ops]|documentation,|docker,","_profile.template.md|📋 Metadata|🔗 Related Files|📄 Content|User Profile Context -- career-ops"
"cv-md","cv-md.md","career-ops","Projects/career-ops/cv-md.md","2026-04-06 23:40","markdown,|project/career-ops,|documentation,|[docker,|service]","cv.md|📋 Metadata|🔗 Related Files|📄 Content|CV -- Sam Rivera"
"scan-md","scan-md.md","career-ops","Projects/career-ops/scan-md.md","2026-04-06 23:40","markdown,|documentation,|[config,|project/career-ops]","scan.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: scan — Portal Scanner (Descubrimiento de Ofertas)"
"deep-md","deep-md.md","career-ops","Projects/career-ops/deep-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","deep.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: deep — Deep Research Prompt"
"story-bank-md","story-bank-md.md","career-ops","Projects/career-ops/story-bank-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|NNN|[docker,|docs,","story-bank.md|📋 Metadata|🔗 Related Files|📄 Content|Story Bank — Master STAR+R Stories"
"FUNDING-yml","FUNDING-yml.md","career-ops","Projects/career-ops/FUNDING-yml.md","2026-04-06 23:40","project/career-ops,|[code,|yaml]|config,","FUNDING.yml|📋 Metadata|🔗 Related Files|📄 Content"
"ARCHITECTURE-md","ARCHITECTURE-md.md","career-ops","Projects/career-ops/ARCHITECTURE-md.md","2026-04-06 23:40","markdown,|[config,|project/career-ops]|documentation,|docker,","ARCHITECTURE.md|📋 Metadata|🔗 Related Files|📄 Content|Architecture"
"ofertas-md","ofertas-md.md","career-ops","Projects/career-ops/ofertas-md.md","2026-04-06 23:40","markdown,|documentation,|[docs,|project/career-ops]","ofertas.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: ofertas — Comparación Multi-Oferta"
"portals-yml","portals-yml.md","career-ops","Projects/career-ops/portals-yml.md","2026-04-06 23:40","[code,|project/career-ops,|yaml]|service,|docker,","portals.yml|📋 Metadata|🔗 Related Files|📄 Content|Portal Scanner Configuration"
"portals-example-yml","portals-example-yml.md","career-ops","Projects/career-ops/portals-example-yml.md","2026-04-06 23:40","[code,|project/career-ops,|yaml]|service,|docker,","portals.example.yml|📋 Metadata|🔗 Related Files|📄 Content|Portal Scanner Configuration"
"cv-template-html","cv-template-html.md","career-ops","Projects/career-ops/cv-template-html.md","2026-04-06 23:40","[code,|html,|project/career-ops]|page,|ffffff|ccc|e5e5e5","cv-template.html|📋 Metadata|🔗 Related Files|📄 Content"
"SETUP-md","SETUP-md.md","career-ops","Projects/career-ops/SETUP-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","SETUP.md|📋 Metadata|🔗 Related Files|📄 Content|Setup Guide"
"angebot-md","angebot-md.md","career-ops","Projects/career-ops/angebot-md.md","2026-04-06 23:40","project/career-ops]|markdown,|[deployment,|documentation,","angebot.md|📋 Metadata|🔗 Related Files|📄 Content|Modus: angebot — Vollständige Bewertung A-F"
"sample-report-md","sample-report-md.md","career-ops","Projects/career-ops/sample-report-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|[docker,|docs,","sample-report.md|📋 Metadata|🔗 Related Files|📄 Content|Evaluation: Acme AI -- Senior AI Engineer"
"pipeline-md","pipeline-md.md","career-ops","Projects/career-ops/pipeline-md.md","2026-04-06 23:40","markdown,|project/career-ops]|documentation,|NNN|[docs,","pipeline.md|📋 Metadata|🔗 Related Files|📄 Content|Modo: pipeline — Inbox de URLs (Second Brain)"
"render-yaml","render-yaml.md","n8n","Projects/n8n/render-yaml.md","2026-03-10 12:06","[code,|project/n8n,|yaml]|config,","render.yaml|📋 Metadata|🔗 Related Files|📄 Content"
"README-md","README-md.md","n8n","Projects/n8n/README-md.md","2026-03-20 11:06","markdown,|project/n8n]|documentation,|[docker,|docs,","README.md|📋 Metadata|🔗 Related Files|📄 Content|n8n — Automated Workflow Server"
"workflows-json","workflows-json.md","n8n","Projects/n8n/workflows-json.md","2026-03-10 12:06","json,|code,|project/n8n]|[auth,","workflows.json|📋 Metadata|🔗 Related Files|📄 Content"
"nisha-chitragupta","nisha-chitragupta.md","nisha-chitragupta","Projects/nisha-chitragupta/nisha-chitragupta.md","2026-04-07 20:09","parent/nisha]|[project/nisha-chitragupta,|index,","🗂️ nisha-chitragupta|📊 Overview|📂 Files by Role|🔐 Auth (5)|⚙️ Config (5)"
"nisha-vishwakarma","nisha-vishwakarma.md","nisha-vishwakarma","Projects/nisha-vishwakarma/nisha-vishwakarma.md","2026-04-07 20:09","[project/nisha-vishwakarma,|parent/nisha]|index,","🗂️ nisha-vishwakarma|📊 Overview|📂 Files by Role|🔐 Auth (3)|⚙️ Config (18)"
"nisha","nisha.md","nisha","Projects/nisha/nisha.md","2026-04-07 20:09","index]|[project/nisha,","🗂️ nisha|📊 Overview|📂 Files by Role|🔐 Auth (3)|⚙️ Config (4)"
"render-yaml","render-yaml.md","indra","Projects/indra/render-yaml.md","2026-04-08 16:51","[code,|yaml]|project/indra,|config,","render.yaml|📋 Metadata|🔗 Related Files|📄 Content"
"README-md","README-md.md","indra","Projects/indra/README-md.md","2026-04-08 16:51","markdown,|project/indra]|documentation,|[docs,","README.md|📋 Metadata|🔗 Related Files|📄 Content|Indra — Automation Mesh & Integration Engine"
"indra-keep-alive-yml","indra-keep-alive-yml.md","indra","Projects/indra/indra-keep-alive-yml.md","2026-04-08 16:51","project/indra,|[code,|github-actions,|yaml]|config,","indra-keep-alive.yml|📋 Metadata|🔗 Related Files|📄 Content"
"indra","indra.md","indra","Projects/indra/indra.md","2026-04-09 00:32","index]|[project/indra,","🗂️ indra|📊 Overview|📂 Files by Role|🔐 Auth (1)|⚙️ Config (2)"
"workflows-json","workflows-json.md","indra","Projects/indra/workflows-json.md","2026-04-08 16:51","json,|project/indra]|code,|[auth,","workflows.json|📋 Metadata|🔗 Related Files|📄 Content"
"nisha-saas","nisha-saas.md","nisha-saas","Projects/nisha-saas/nisha-saas.md","2026-04-07 20:09","parent/nisha]|index,|[project/nisha-saas,","🗂️ nisha-saas|📊 Overview|📂 Files by Role|🔐 Auth (17)|⚙️ Config (2)"
"whitelabel-js","whitelabel-js.md","vishwakarma","Projects/vishwakarma/whitelabel-js.md","2026-04-08 16:51","project/vishwakarma]|[code,|javascript,|config,","whitelabel.js|📋 Metadata|🔗 Related Files|📄 Content"
"cloudflare-cleanup-yml","cloudflare-cleanup-yml.md","vishwakarma","Projects/vishwakarma/cloudflare-cleanup-yml.md","2026-04-08 16:51","[code,|github-actions,|yaml]|config,|project/vishwakarma,","cloudflare-cleanup.yml|📋 Metadata|🔗 Related Files|📄 Content|Prevent overlapping runs"
"ADR-001-tailscale-md","ADR-001-tailscale-md.md","vishwakarma","Projects/vishwakarma/ADR-001-tailscale-md.md","2026-04-08 16:51","markdown,|[deployment,|documentation,|terraform]|project/vishwakarma,|docker,","ADR-001-tailscale.md|📋 Metadata|🔗 Related Files|📄 Content|Tailscale Architecture: Centralized vs Dis"
"vishwakarma","vishwakarma.md","vishwakarma","Projects/vishwakarma/vishwakarma.md","2026-04-09 00:32","index]|[project/vishwakarma,","🗂️ vishwakarma|📊 Overview|📂 Files by Role|🔐 Auth (7)|⚙️ Config (5)"
"MONITORING_SETUP-md","MONITORING_SETUP-md.md","vishwakarma","Projects/vishwakarma/MONITORING_SETUP-md.md","2026-04-08 16:51","markdown,|documentation,|[cloudflare-workers,|project/vishwakarma,|service]","MONITORING_SETUP.md|📋 Metadata|🔗 Related Files|📄 Content|Monitoring & Error Tracking Setup"
"CLIENT_GUIDE-md","CLIENT_GUIDE-md.md","vishwakarma","Projects/vishwakarma/CLIENT_GUIDE-md.md","2026-04-08 16:51","markdown,|project/vishwakarma]|documentation,|[docker,|docs,","CLIENT_GUIDE.md|📋 Metadata|🔗 Related Files|📄 Content|Vishwakarma Cloud — Client Guide"
"API-md","API-md.md","vishwakarma","Projects/vishwakarma/API-md.md","2026-04-08 16:51","markdown,|documentation,|typescript]|project/vishwakarma,|[auth,","API.md|📋 Metadata|🔗 Related Files|📄 Content|API Documentation"
"SECRETS_SETUP-md","SECRETS_SETUP-md.md","vishwakarma","Projects/vishwakarma/SECRETS_SETUP-md.md","2026-04-08 16:51","markdown,|documentation,|[cloudflare-workers,|project/vishwakarma,|service]","SECRETS_SETUP.md|📋 Metadata|🔗 Related Files|📄 Content|Cloudflare Pages Secrets Setup"
"destroy-client-yml","destroy-client-yml.md","vishwakarma","Projects/vishwakarma/destroy-client-yml.md","2026-04-08 16:51","[code,|github-actions,|yaml]|project/vishwakarma,|config,|docker,","destroy-client.yml|📋 Metadata|🔗 Related Files|📄 Content|────────────────────────────────────────────"
"CREDENTIAL_PORTAL_SETUP-md","CREDENTIAL_PORTAL_SETUP-md.md","vishwakarma","Projects/vishwakarma/CREDENTIAL_PORTAL_SETUP-md.md","2026-04-08 16:51","markdown,|project/vishwakarma]|documentation,|[cloudflare-workers,|docs,|docker,","CREDENTIAL_PORTAL_SETUP.md|📋 Metadata|🔗 Related Files|📄 Content|🔐 Secure Credential Portal — Setup G"
"README-md","README-md.md","vishwakarma","Projects/vishwakarma/README-md.md","2026-04-08 16:51","markdown,|cloudflare-workers,|project/vishwakarma]|documentation,|[auth,","README.md|📋 Metadata|🔗 Related Files|📄 Content|vishwakarma-platform"
"HANDOFF-md","HANDOFF-md.md","vishwakarma","Projects/vishwakarma/HANDOFF-md.md","2026-04-08 16:51","markdown,|documentation,|[docs,|project/vishwakarma]","HANDOFF.md|📋 Metadata|🔗 Related Files|📄 Content|Implementation Handoff - Vishwakarma Platform Produc"
"provision-html","provision-html.md","vishwakarma","Projects/vishwakarma/provision-html.md","2026-04-08 16:51","html,|[code,|project/vishwakarma]|page,","provision.html|📋 Metadata|🔗 Related Files|📄 Content"
"provision-client-yml","provision-client-yml.md","vishwakarma","Projects/vishwakarma/provision-client-yml.md","2026-04-08 16:51","[code,|github-actions,|yaml]|service,|project/vishwakarma,|docker,","provision-client.yml|📋 Metadata|🔗 Related Files|📄 Content|──────────────────────────────────────────"
"mle-star-js","mle-star-js.md","vishwakarma","Projects/vishwakarma/mle-star-js.md","2026-04-08 16:51","[code,|javascript,|project/vishwakarma,|service]","mle-star.js|📋 Metadata|🔗 Related Files|📄 Content"
"_worker-js","_worker-js.md","vishwakarma","Projects/vishwakarma/_worker-js.md","2026-04-08 16:51","[code,|javascript,|page,|project/vishwakarma]","_worker.js|📋 Metadata|🔗 Related Files|📄 Content"
"index-html","index-html.md","vishwakarma","Projects/vishwakarma/index-html.md","2026-04-08 16:51","html,|[code,|project/vishwakarma]|page,","index.html|📋 Metadata|🔗 Related Files|📄 Content"
"PRODUCTION_CHECKLIST-md","PRODUCTION_CHECKLIST-md.md","vishwakarma","Projects/vishwakarma/PRODUCTION_CHECKLIST-md.md","2026-04-08 16:51","markdown,|project/vishwakarma]|documentation,|[cloudflare-workers,|docs,","PRODUCTION_CHECKLIST.md|📋 Metadata|🔗 Related Files|📄 Content|Production Readiness Checklist"
"DEPLOYMENT-md","DEPLOYMENT-md.md","vishwakarma","Projects/vishwakarma/DEPLOYMENT-md.md","2026-04-08 16:51","markdown,|project/vishwakarma]|documentation,|[cloudflare-workers,|docs,","DEPLOYMENT.md|📋 Metadata|🔗 Related Files|📄 Content|Deployment Guide"
"CLOUDFLARE_ZT_SETUP-md","CLOUDFLARE_ZT_SETUP-md.md","vishwakarma","Projects/vishwakarma/CLOUDFLARE_ZT_SETUP-md.md","2026-04-08 16:51","markdown,|project/vishwakarma]|documentation,|[docker,|docs,","CLOUDFLARE_ZT_SETUP.md|📋 Metadata|🔗 Related Files|📄 Content|Cloudflare Zero Trust Setup Guide"
